tocsin_score,simllm_score,label
0.05558149144053459,-2.907353639602661,0
0.11316357553005219,-2.842967748641968,0
0.17363287508487701,-2.176679849624634,0
0.12363150715827942,-3.1618518829345703,0
0.04184015467762947,-3.218421220779419,0
0.1642225831747055,-2.550893545150757,0
0.09943059831857681,-1.703918218612671,0
0.13426151871681213,-3.043208599090576,0
0.09516014903783798,-3.149279832839966,0
0.09091831743717194,-2.0775580406188965,0
0.09721577912569046,-2.0791306495666504,0
0.05026303231716156,-2.8189690113067627,0
0.05261608585715294,-2.5465540885925293,0
0.10686197876930237,-2.774982452392578,0
0.11658335477113724,-1.5650849342346191,0
0.17528481781482697,-2.7148916721343994,0
0.051542967557907104,-2.157216787338257,0
0.12345416098833084,-3.188916683197021,0
0.052800796926021576,-2.296987533569336,0
0.09972717612981796,-1.0060664415359497,0
0.09121040999889374,-2.1239185333251958,0
0.1642606407403946,-3.13801908493042,0
0.0741688460111618,-2.2215137481689453,0
0.045075397938489914,-3.107701778411865,0
0.09459972381591797,-3.6339869499206543,0
0.06235684081912041,-2.8356120586395264,0
0.40040379762649536,-2.662888288497925,0
0.08033456653356552,-2.935502767562866,0
0.06718176603317261,-3.58253026008606,0
0.14336420595645905,-2.581458330154419,0
0.19518417119979858,-3.6325972080230713,0
0.11838608980178833,-3.066406726837158,0
0.21326038241386414,-3.00319766998291,0
0.09682159125804901,-4.243262767791748,0
0.14908407628536224,-1.8056365251541135,0
0.08215336501598358,-2.243015050888061,0
0.10490185767412186,-2.3424878120422363,0
0.1844186782836914,-2.5319151878356934,0
0.0816798061132431,-2.9343950748443604,0
0.08001767098903656,-2.2348833084106445,0
0.5918248891830444,-3.2297520637512207,0
0.3270476371049881,-1.396180272102356,0
0.09311513602733612,-2.3007161617279053,0
0.09432822465896606,-2.500208854675293,0
0.09971998631954193,-2.7204763889312744,0
0.10454431176185608,-2.5205023288726807,0
0.14053742587566376,-3.1794703006744385,0
0.07334138453006744,-1.985580921173096,0
0.0702856034040451,-1.5053915977478027,0
0.10521356016397476,-2.4342916011810303,0
0.07993184030056,-3.1121084690093994,0
0.30023816227912903,-1.4575649499893188,0
0.07076157629489899,-1.896023154258728,0
0.0794304758310318,-3.148280143737793,0
0.14400188624858856,-2.3956902027130127,0
0.20125676691532135,-2.649693250656128,0
0.14900115132331848,-1.630225419998169,0
0.12035997956991196,-2.040539264678955,0
0.33511650562286377,-2.842695951461792,0
0.08221497386693954,-3.0951590538024902,0
0.08721351623535156,-2.7614567279815674,0
0.13791801035404205,-1.514582276344299,0
0.2381405532360077,-1.912651538848877,0
0.1868122324347496,-2.6029608249664307,0
